ID_NACIONALIDAD,CODIGO_PAIS,NOMBRE
1,CO,Colombiana
2,PR,Puertorriquena
3,MX,Mexicana
4,AR,Argentina
5,US,Estadounidense
6,ES,Espanola
7,DO,Dominicana
8,VE,Venezolana
9,CU,Cubana
10,BR,Brasilena
